Country,year,Region,Health expenditure per capita US,"Hospital beds (per 1,000 people)",Number of physicians(per 1000 people),"Mortality from CVD,cancer,diabetes or CRD",Population growth (annual %)
Japan,2014,East Asia & Pacific,4099.28027344,13.21,2.3413,8.8,-0.132694222147042
Japan,2016,East Asia & Pacific,4174.42236328,13.11,2.4115,8.7,-0.115284177050088
Jordan,2000,Middle East & North Africa,159.14764404,1.7,1.8692,23.9,1.78729939638372
Jordan,2001,Middle East & North Africa,170.04580688,1.7,2.0369,23.6,1.83437684014076
Jordan,2002,Middle East & North Africa,174.00019836,1.7,2.2031,23.2,1.90205074590089
Jordan,2003,Middle East & North Africa,171.04766846,1.7,2.2773,22.2,2.1676235031242
Jordan,2004,Middle East & North Africa,184.51148987,1.7,2.0426,1,2.65498294885131
Jordan,2005,Middle East & North Africa,193.5009613,1.7,2.239,21.8,3.26840234374714
Jordan,2006,Middle East & North Africa,202.44813538,1.9,2.2911,21.3,3.84336536937766
Jordan,2007,Middle East & North Africa,227.0579071,1.9,2.4426,1,4.30778631978547
Jordan,2008,Middle East & North Africa,293.36459351,1.8,2.2231,18.6,4.70253001762532
Jordan,2009,Middle East & North Africa,328.34686279,1.8,2.1287,17.7,5.00910265490608
Jordan,2010,Middle East & North Africa,305.29360962,1.8,2.2326,17.1,5.20482327869944
Jordan,2013,Middle East & North Africa,289.82498169,1.8,2.1947,15.3,5.16738664705539
Jordan,2014,Middle East & North Africa,297.8348999,1.89,2.2038,15.1,4.58658511076862
Jordan,2015,Middle East & North Africa,310.6847229,1.38,2.8078,14.9,3.82497489731351
Jordan,2016,Middle East & North Africa,298.80722046,1.4,1.3954,14.8,3.05762255617112
Jordan,2017,Middle East & North Africa,337.75540161,1.47,2.3237,1,2.39465932202378
Kazakhstan,2000,Europe & Central Asia,50.99633026,7.19,3.2804,41.5,-0.300201486690526
Kazakhstan,2001,Europe & Central Asia,51.56954956,6.97,3.4399,40.2,-0.170069526322763
Kazakhstan,2002,Europe & Central Asia,59.46535873,7.02,3.583,39.1,0.00412554539450457
Kazakhstan,2003,Europe & Central Asia,76.02937317,7.7,3.6168,39.8,0.336408913793247
Kazakhstan,2004,Europe & Central Asia,112.70569611,7.77,3.5907,37.9,0.694909484311257
Kazakhstan,2005,Europe & Central Asia,144.70140076,7.76,3.6038,37.6,0.888898042702025
Kazakhstan,2006,Europe & Central Asia,177.00895691,7.78,3.6983,36.3,1.05767130866502
Kazakhstan,2007,Europe & Central Asia,180.50115967,7.72,3.6547,35.6,1.14385123349431
Kazakhstan,2008,Europe & Central Asia,256.54428101,7.71,3.7161,33.3,1.87296209612182
Kazakhstan,2009,Europe & Central Asia,251.49954224,7.61,3.7808,31.2,1.98240805691531
Kazakhstan,2010,Europe & Central Asia,249.2689209,7.29,3.9278,31.4,1.41327147745347
Kazakhstan,2011,Europe & Central Asia,303.98086548,7.11,3.9483,30.4,1.43151244887822
Kazakhstan,2012,Europe & Central Asia,377.12728882,7.01,3.9108,29.2,1.40867688701824
Kazakhstan,2013,Europe & Central Asia,370.09402466,6.72,3.9508,27.3,1.43944535624798
Kazakhstan,2014,Europe & Central Asia,380.66009521,6.06,3.98,26.3,1.47267087305755
Kenya,2002,Sub-Saharan Africa,21.68992996,1.9,0.1335,21.8,2.71239669758013
Kenya,2010,Sub-Saharan Africa,58.21165848,1.4,0.1696,22.2,2.7225900011839
Kiribati,2009,East Asia & Pacific,176.545578,1.5,0.327,53.4,2.17147268635944
Kiribati,2010,East Asia & Pacific,139.495224,1.4,0.3984,1,1.96417541978949
Kiribati,2011,East Asia & Pacific,148.80270386,1.3,0.1433,52.8,1.73842049192614
"Korea, Rep.",2000,East Asia & Pacific,473.98675537,4.65,1.3,16.5,0.836180864297766
"Korea, Rep.",2001,East Asia & Pacific,508.28076172,4.45,1.4,15.8,0.767241774760276
"Korea, Rep.",2002,East Asia & Pacific,544.26074219,4.83,1.5,15.5,0.577957276814842
"Korea, Rep.",2003,East Asia & Pacific,644.14923096,5.09,1.573,14.9,0.518321452985646
"Korea, Rep.",2004,East Asia & Pacific,717.87432861,5.42,1.6909,14.3,0.396331436697806
"Korea, Rep.",2005,East Asia & Pacific,886.47064209,5.9,1.7529,13.5,0.211997784117548
"Korea, Rep.",2006,East Asia & Pacific,1065.26647949,6.48,1.8047,12.7,0.525199940498775
"Korea, Rep.",2007,East Asia & Pacific,1223.17443848,7.24,1.8655,12.2,0.505234032920336
"Korea, Rep.",2008,East Asia & Pacific,1149.70861816,7.73,1.8407,11.6,0.759316681850927
"Korea, Rep.",2009,East Asia & Pacific,1106.06408691,8.19,1.9185,1,0.514682827535803
"Korea, Rep.",2010,East Asia & Pacific,1366.38439941,8.74,1.9839,10.6,0.49822508440111
"Korea, Rep.",2011,East Asia & Pacific,1512.45251465,9.53,2.0361,1,0.768971758582589
"Korea, Rep.",2012,East Asia & Pacific,1566.12280273,10.25,2.0798,9.5,0.525713660600414
"Korea, Rep.",2013,East Asia & Pacific,1701.15441895,10.92,2.1632,1,0.455218622164662
"Korea, Rep.",2014,East Asia & Pacific,1898.92089844,11.59,2.207,8.7,0.628149861433639
"Korea, Rep.",2015,East Asia & Pacific,1918.68969727,11.61,2.2494,8.4,0.527288497407793
"Korea, Rep.",2016,East Asia & Pacific,2034.43676758,11.98,2.3037,8.2,0.396851823381145
"Korea, Rep.",2017,East Asia & Pacific,2258.66821289,12.27,2.3608,7.8,0.280968018301691
Kuwait,2003,Middle East & North Africa,715.62805176,2.2,1.9,15.9,1.14619514620957
Kuwait,2004,Middle East & North Africa,744.81292725,2.1,1.5,15.9,1.78229821054783
Kuwait,2005,Middle East & North Africa,846.28430176,1.9,1.8,15.7,3.11824729939993
Kuwait,2006,Middle East & North Africa,964.01898193,1.9,1.4543,15.7,4.45673176456236
Kuwait,2007,Middle East & North Africa,976.56640625,1.9,1.8814,15.2,5.34663475466518
Kuwait,2008,Middle East & North Africa,1072.81335449,1.8,1.8806,16.2,5.89251600968142
Kuwait,2009,Middle East & North Africa,1453.46044922,1.8,1.8929,1,6.02809691001469
Kuwait,2010,Middle East & North Africa,1063.56469727,1,2.4296,13.2,5.87973235396896
Kuwait,2011,Middle East & North Africa,1272.99243164,1.85,2.456,1,5.72142299542758
Kuwait,2012,Middle East & North Africa,1337.65258789,2.2,2.4662,11.8,5.55000812778985
Kuwait,2013,Middle East & North Africa,1276.94506836,2.2,2.5332,11.5,5.16548156283081
Kuwait,2014,Middle East & North Africa,1409.09362793,2.04,2.6522,11.3,4.56084810570999
Kuwait,2015,Middle East & North Africa,1199.36352539,2.04,2.6463,11.4,3.84418504828989
Kyrgyz Republic,2000,Europe & Central Asia,12.29036808,7.04,2.8043,33.5,1.19112592398474
Kyrgyz Republic,2001,Europe & Central Asia,13.16161728,6.15,2.6959,31.5,0.948856613551314
Kyrgyz Republic,2002,Europe & Central Asia,14.77255917,5.53,2.5862,32.6,0.917899316903102
Kyrgyz Republic,2003,Europe & Central Asia,22.32097054,5.31,2.5735,33.2,1.0484449238834
Kyrgyz Republic,2004,Europe & Central Asia,27.23155403,5.14,2.561,1,1.21010542490902
Kyrgyz Republic,2005,Europe & Central Asia,36.11393356,5.12,2.5167,32.5,1.12786445855189
Kyrgyz Republic,2006,Europe & Central Asia,45.97068405,5.09,2.4489,32.8,1.07505129401544
Kyrgyz Republic,2007,Europe & Central Asia,50.84462738,5.06,2.358,32.1,0.953586964300523
Kyrgyz Republic,2008,Europe & Central Asia,63.82300568,5.01,2.3528,30.6,0.950220144755314
Kyrgyz Republic,2009,Europe & Central Asia,60.65092087,4.83,2.3409,29.5,1.20726564406139
Kyrgyz Republic,2010,Europe & Central Asia,61.45378494,4.76,2.3394,27.9,1.19286442880631
Kyrgyz Republic,2011,Europe & Central Asia,79.82953644,4.7,2.286,28.4,1.21689072909974
Kyrgyz Republic,2012,Europe & Central Asia,99.98524475,4.64,2.2623,26.9,1.66523655939962
Kyrgyz Republic,2013,Europe & Central Asia,104.78458405,4.51,2.2614,26.2,1.98473866725772
Kyrgyz Republic,2014,Europe & Central Asia,94.01564789,4.41,2.213,26.3,2.0061078993716
Lao PDR,2005,East Asia & Pacific,17.68591881,1.2,0.2806,30.4,1.56787840728204
Lao PDR,2010,East Asia & Pacific,34.97488022,0.7,0.7809,28.3,1.62205058536827
Lao PDR,2012,East Asia & Pacific,32.83571243,1.5,0.18,27.4,1.51601262173813
Latvia,2000,Europe & Central Asia,181.57072449,8.77,3.4116,27.9,-0.963935407092365
Latvia,2001,Europe & Central Asia,205.02047729,8.28,3.2832,29.1,-1.29148694354873
Latvia,2002,Europe & Central Asia,237.29516602,7.87,3.3959,28.9,-1.1618382239436
Latvia,2003,Europe & Central Asia,280.50878906,7.95,3.4188,28.2,-0.966400801237561
Latvia,2004,Europe & Central Asia,393.29806519,7.91,3.5486,28.1,-1.09131295557421
Latvia,2005,Europe & Central Asia,440.80975342,7.9,2.9432,28.4,-1.08057145691172
Latvia,2006,Europe & Central Asia,552.30157471,7.85,3.0196,29.1,-0.91727295748817
Latvia,2007,Europe & Central Asia,775.19152832,7.83,3.1464,28.6,-0.816175506582982
Latvia,2008,Europe & Central Asia,913.52148438,7.77,3.2424,27.2,-1.0509395443743
Latvia,2009,Europe & Central Asia,744.66162109,6.74,3.1485,1,-1.65102496759116
Latvia,2010,Europe & Central Asia,689.07720947,5.68,3.0757,1,-2.08130508988111
Latvia,2011,Europe & Central Asia,764.59173584,5.88,3.0837,25.2,-1.82076700208005
Latvia,2012,Europe & Central Asia,745.51745605,5.89,3.0913,24.1,-1.24035915329271
Latvia,2013,Europe & Central Asia,807.13000488,5.8,3.1408,23.5,-1.07103480329077
Latvia,2014,Europe & Central Asia,856.76654053,5.66,3.1724,23.2,-0.941743354234222
Latvia,2015,Europe & Central Asia,775.86431885,5.69,3.1656,1,-0.818626340945853
Latvia,2016,Europe & Central Asia,874.79772949,5.72,3.1885,1,-0.913885332226604
Latvia,2017,Europe & Central Asia,932.50158691,5.57,3.1905,22.3,-0.886215573292392
Lebanon,2001,Middle East & North Africa,459.46578979,1,2.8827,19.9,3.7847073872104
Lebanon,2006,Middle East & North Africa,400.70999146,3.6,2.4707,20.1,1.28983898624605
Lebanon,2007,Middle East & North Africa,445.77624512,3.43,2.3464,20.5,0.15927188817891
Lebanon,2010,Middle East & North Africa,577.359375,3.45,2.3385,20.7,2.86803826418261
Lebanon,2011,Middle East & North Africa,627.64208984,3.45,2.6201,20.8,4.90410211757948
Lebanon,2013,Middle East & North Africa,600.77301025,2.86,2.2486,20.8,6.55912171719335
Lebanon,2014,Middle East & North Africa,605.24328613,2.85,2.0735,20.7,5.71912410680609
Lebanon,2015,Middle East & North Africa,587.45690918,3.37,2.103,20.6,4.24701618392068
Lebanon,2016,Middle East & North Africa,609.06103516,2.73,2.0115,20.4,2.74193248822904
Lebanon,2017,Middle East & North Africa,661.42797852,2.73,2.0255,20.3,1.55307816183349
Liberia,2009,Sub-Saharan Africa,44.75388718,0.7,0.024,19.8,3.97406706153879
Liberia,2010,Sub-Saharan Africa,45.5770874,0.8,0.0231,1,3.59016390667023
Libya,2004,Middle East & North Africa,201.76945496,3.9,1.2381,17.8,1.58189353774975
Libya,2008,Middle East & North Africa,321.21362305,3.7,1.8425,18.8,1.39535763940312
Libya,2009,Middle East & North Africa,355.18661499,3.7,1.9578,18.8,1.23430886843398
Libya,2010,Middle East & North Africa,399.01916504,3.7,1.9,17.8,1.03279845585375
Lithuania,2000,Europe & Central Asia,217.1761322,8.83,3.2954,24.2,-0.703385440488978
Lithuania,2001,Europe & Central Asia,218.81802368,8.33,3.2914,24.5,-0.824008723044179
Lithuania,2002,Europe & Central Asia,254.36688232,8.1,3.3067,24.6,-0.802765710748508
Lithuania,2003,Europe & Central Asia,338.86306763,7.85,3.3104,24.5,-0.812278097406687
Lithuania,2004,Europe & Central Asia,366.95968628,7.57,3.293,24.9,-1.12299127483243
Lithuania,2005,Europe & Central Asia,438.93267822,7.28,3.2993,25.7,-1.6284011259342701
Lithuania,2006,Europe & Central Asia,536.05737305,7.16,3.4223,26.4,-1.59637831830094
Lithuania,2007,Europe & Central Asia,704.29315186,7.19,3.4535,26.6,-1.187947957259
Lithuania,2008,Europe & Central Asia,936.50933838,7.18,3.453,25.2,-1.02848317546539
Lithuania,2009,Europe & Central Asia,864.73638916,7.18,3.4323,24.4,-1.11034575437238
Lithuania,2010,Europe & Central Asia,805.2244873,7.16,3.4144,23.7,-2.09694341985475
Lithuania,2011,Europe & Central Asia,925.47161865,7.43,4.0238,23.7,-2.25846389882827
Lithuania,2012,Europe & Central Asia,896.93707275,7.45,4.1384,22.9,-1.34120198821595
Lithuania,2013,Europe & Central Asia,958.92718506,7.31,4.2042,22.2,-1.01200736818103
Lithuania,2014,Europe & Central Asia,1021.23297119,7.26,4.2507,21.4,-0.859827343070249
Lithuania,2015,Europe & Central Asia,920.19976807,6.97,4.2993,22.2,-0.940753796646208
Lithuania,2016,Europe & Central Asia,988.5279541,6.69,4.7346,21.4,-1.27069453298857
Lithuania,2017,Europe & Central Asia,1083.30334473,6.56,4.8257,19.8,-1.39832220092102
Luxembourg,2000,Europe & Central Asia,2901.19995117,6.1999998093,2.5,15.2,1.34408299573143
Luxembourg,2001,Europe & Central Asia,3109.20141602,6.0999999046,2.5,1,1.19045634528707
Luxembourg,2002,Europe & Central Asia,3600.86743164,1,2.6,14.5,1.04766081596443
Luxembourg,2003,Europe & Central Asia,4607.40283203,1,2.7,14.2,1.21520087964639
Luxembourg,2004,Europe & Central Asia,5610.35351563,6.39,2.73,13.9,1.42133256471314
Luxembourg,2005,Europe & Central Asia,5818.14599609,5.79,2.5994,13.6,1.53005466340868
Luxembourg,2006,Europe & Central Asia,6070.73583984,5.65,2.616,1,1.59505191774492
Luxembourg,2007,Europe & Central Asia,6671.26513672,5.67,2.7227,12.4,1.54438684650549
Luxembourg,2008,Europe & Central Asia,7578.74951172,5.57,2.7359,12.2,1.78749663225793
Luxembourg,2009,Europe & Central Asia,7670.59375,5.47,2.717,11.9,1.85177523043645
Luxembourg,2010,Europe & Central Asia,7459.83544922,5.37,2.7683,11.8,1.8254058035237
Luxembourg,2011,Europe & Central Asia,7174.73925781,5.28,2.7614,11.3,2.22266050326725
Luxembourg,2012,Europe & Central Asia,6029.47509766,5.15,2.8047,10.8,2.40154189982875
Luxembourg,2013,Europe & Central Asia,6356.64453125,5.17,2.8327,10.4,2.31117625275217
Luxembourg,2014,Europe & Central Asia,6547.03466797,5.05,2.8891,1,2.35697870484045
Luxembourg,2015,Europe & Central Asia,5421.93212891,4.93,2.9222,9.7,2.35995118136865
Luxembourg,2016,Europe & Central Asia,5475.13964844,4.81,2.9052,9.5,2.15531198799205
Luxembourg,2017,Europe & Central Asia,5713.11865234,4.66,3.009,9.6,2.43097641776115
Madagascar,2002,Sub-Saharan Africa,15.12862587,0.4199999869,0.1362,28.8,3.0535174409737
Madagascar,2005,Sub-Saharan Africa,16.50335312,0.3,0.1801,28.6,2.95391827877039
Madagascar,2010,Sub-Saharan Africa,21.95882225,0.2,0.1953,27.7,2.79267649390527
Malaysia,2010,East Asia & Pacific,292.00302124,1.8,1.1691,18.9,1.69100946649984
Malaysia,2011,East Asia & Pacific,352.26922607,1.79,1.2777,18.6,1.55804019772355
Malaysia,2012,East Asia & Pacific,382.66152954,1.9,1.332,18.2,1.44573944701104
Malaysia,2015,East Asia & Pacific,379.90048218,1.86,1.5358,17.7,1.3448002213693
Maldives,2000,South Asia,221.92073059,1.7000000477,0.777,25.7,2.12480729442437
Maldives,2009,South Asia,669.8102417,4.3,1.4884,17.3,2.85393752892743
Mali,2008,Sub-Saharan Africa,35.02916718,0.6,0.049,23.9,3.32912033840782
Mali,2010,Sub-Saharan Africa,33.20299911,0.1,0.1021,23.7,3.15863381986127
Malta,2000,Middle East & North Africa,647.10150146,5.48,2.6016,15.8,0.645267230900854
Malta,2001,Middle East & North Africa,685.98400879,7.57,3.081,15.2,0.75110649818537
Malta,2002,Middle East & North Africa,830.64630127,7.48,3.2656,14.4,0.745506921127166
Malta,2003,Middle East & North Africa,1074.09313965,7.43,3.128,13.9,0.657732334391546
Malta,2006,Middle East & North Africa,1474.48449707,7.57,3.88,1,0.364336947162944
Malta,2007,Middle East & North Africa,1596.12316895,7.85,3.351,12.8,0.348755082369901
Malta,2008,Middle East & North Africa,1751.16503906,7.39,3.3553,12.4,0.650655460565174
Malta,2009,Middle East & North Africa,1677.36230469,4.83,1.9169,12.1,0.753906931031973
Malta,2010,Middle East & North Africa,1733.66882324,4.52,2.153,11.8,0.49118281065151
Malta,2011,Middle East & North Africa,1960.06115723,4.38,2.2384,11.5,0.423700885195294
Malta,2012,Middle East & North Africa,1898.60144043,4.71,2.3566,11.1,0.899209211902256
Malta,2013,Middle East & North Africa,2121.08227539,4.78,2.4595,10.9,1.4040502758129
Malta,2014,Middle East & North Africa,2456.43481445,4.59,2.6592,10.8,1.9967544083193
Malta,2015,Middle East & North Africa,2243.46704102,4.59,2.8598,10.7,2.38639536345808
Mauritius,2008,Sub-Saharan Africa,321.8163147,3.3,1.17,25.9,0.361630847401639
Mauritius,2011,Sub-Saharan Africa,396.6121521,3.4,1.4467,24.1,0.160140420765724
Mexico,2000,Latin America & Caribbean,318.46151733,1.05,1.9808,16.7,1.4410967038977
Mexico,2001,Latin America & Caribbean,363.67358398,1.08,1.5,16.5,1.40395986845276
Mexico,2002,Latin America & Caribbean,385.09851074,1.09,1.5,1,1.37302085830616
Mexico,2003,Latin America & Caribbean,411.42242432,1.06,1.5,17.1,1.3637802306823399
Mexico,2004,Latin America & Caribbean,445.62039185,1.07,2.893,16.7,1.38146893230283
Mexico,2005,Latin America & Caribbean,483.09536743,1.05,1.7651,16.7,1.4158169793862
Mexico,2006,Latin America & Caribbean,512.83319092,1.02,1.881,16.4,1.4562132376675
Mexico,2007,Latin America & Caribbean,556.0402832,1.06,1.9215,16.1,1.48606353186843
Mexico,2008,Latin America & Caribbean,570.83050537,1.03,1.9494,16.4,1.49536909755127
Mexico,2009,Latin America & Caribbean,490.56585693,1.02,1.979,16.1,1.47675580253545
Mexico,2010,Latin America & Caribbean,553.9777832,1.05,2.2362,15.9,1.43814066910139
Mexico,2011,Latin America & Caribbean,581.71026611,1.04,2.1004,15.4,1.39478996981758
Mexico,2012,Latin America & Caribbean,598.34881592,1.03,2.1118,15.5,1.35529442643505
Mexico,2013,Latin America & Caribbean,637.15966797,1.03,2.1568,15.2,1.31555760676608
Mexico,2014,Latin America & Caribbean,614.97424316,1.03,2.207,15.6,1.27768636604222
Mexico,2015,Latin America & Caribbean,556.86657715,1,2.3246000000000002,15.7,1.24116450246976
Mexico,2016,Latin America & Caribbean,490.79937744,1,2.3244,1,1.20325950587092
Mexico,2017,Latin America & Caribbean,512.06567383,0.99,2.3827,15.7,1.16396694963579
"Micronesia, Fed. Sts.",2000,East Asia & Pacific,168.45785522,2.8,0.5959,44.9,-0.338331161961442
"Micronesia, Fed. Sts.",2005,East Asia & Pacific,417.72436523,3.3,0.5844,44.6,-0.459675840791554
"Micronesia, Fed. Sts.",2009,East Asia & Pacific,341.31835938,3.2,0.1942,44.5,-0.559753543653519
Moldova,2000,Europe & Central Asia,21.37988472,7.08,2.4553,1,-0.203364952540417
Moldova,2001,Europe & Central Asia,25.39859009,6.9,2.2925,1,-0.223624844627336
Moldova,2002,Europe & Central Asia,33.9242363,6.75,2.3103,31.9,-0.231581521799938
Moldova,2003,Europe & Central Asia,38.43836975,6.67,2.2824,1,-0.281584490002278
Moldova,2004,Europe & Central Asia,64.60714722,6.41,2.1814,31.4,-0.247453022508011
Moldova,2005,Europe & Central Asia,79.33213043,6.39,2.3783,32.3,-0.243323174288772
Moldova,2006,Europe & Central Asia,100.10816193,6.27,2.3768,31.2,-0.277937548008905
Moldova,2007,Europe & Central Asia,135.44366455,6.12,2.3871000000000002,30.1,-0.231718959812568
Moldova,2008,Europe & Central Asia,185.56115723,6.11,2.3545,29.2,-0.19037197594723
Moldova,2009,Europe & Central Asia,208.53004456,6.15,2.3912,29.6,-0.126231850001986
Moldova,2010,Europe & Central Asia,198.28894043,6.18,2.3808,29.9,-0.0998632072433329
Moldova,2011,Europe & Central Asia,214.98246765,6.19,2.4142,1,-0.0578188266371312
Moldova,2012,Europe & Central Asia,223.61895752,6.23,2.4135,26.2,-0.0131135135644405
Moldova,2013,Europe & Central Asia,231.66229248,5.83,2.5028,25.2,-0.0267918821500678
Moldova,2014,Europe & Central Asia,230.76982117,5.66,2.4746,25.6,-0.0609555340918141
Mongolia,2002,East Asia & Pacific,29.65744781,7.5,2.7553,46.1,0.973386492778303
Mongolia,2009,East Asia & Pacific,76.45706177,5.9,2.6704,41.4,1.57927987004671
Mongolia,2010,East Asia & Pacific,98.84479523,1,2.7564,41.6,1.70974126800063
Mongolia,2011,East Asia & Pacific,134.75062561,6.75,2.8671,40.9,1.83803425141813
Mongolia,2012,East Asia & Pacific,167.76242065,1,3.0435,38.5,1.94252634677933
Mongolia,2015,East Asia & Pacific,166.08277893,1,3.2194,36.1,1.96424831312739
Mongolia,2016,East Asia & Pacific,161.90859985,1,2.8592,35.8,1.9134192168807
Morocco,2001,Middle East & North Africa,55.9498291,0.87,0.483,25.5,1.14866949696753
Morocco,2004,Middle East & North Africa,93.63453674,0.87,0.531,25.1,1.10960287730585
Morocco,2007,Middle East & North Africa,137.54327393,0.87,0.5862,1,1.15860746193326
Morocco,2009,Middle East & North Africa,169.95036316,1.13,0.6477,24.6,1.23620726338632
Morocco,2010,Middle East & North Africa,169.00949097,1.13,0.62,24.4,1.2892074374743001
Morocco,2013,Middle East & North Africa,180.20198059,0.85,0.632,24.7,1.41526843050764
Morocco,2014,Middle East & North Africa,170.74113464,1.1,0.9135,24.5,1.40384162655748
Morocco,2017,Middle East & North Africa,161.45051575,1,0.7308,24.2,1.28696129912794
Mozambique,2006,Sub-Saharan Africa,17.79965973,0.8,0.026,29.7,2.82012486466652
Mozambique,2011,Sub-Saharan Africa,29.33419418,0.7,0.0524,32.8,2.74931744330296
Myanmar,2000,East Asia & Pacific,4.33537483,0.7,0.302,32.2,1.15957923270434
Myanmar,2006,East Asia & Pacific,8.21358681,0.6,0.4158,31.5,0.714739933884818
Myanmar,2012,East Asia & Pacific,36.11348343,0.9,0.5802,27.4,0.826319491319885
Myanmar,2016,East Asia & Pacific,57.93581772,1.04,0.6195,25.9,0.689474129916256
Myanmar,2017,East Asia & Pacific,57.859272,1.04,0.8638,25.3,0.633900885128423
Nepal,2001,South Asia,10.52144337,0.2,0.052,18.8,1.68166743622504
Nepal,2012,South Asia,34.3300705,0.3,0.5159,21.1,-0.192706459257694
Netherlands,2000,Europe & Central Asia,2028.18139648,4.92,2.4427,16.5,0.714770362784392
Netherlands,2001,Europe & Central Asia,2175.73046875,4.75,2.5193,15.9,0.754840057734904
Netherlands,2002,Europe & Central Asia,2544.8137207,4.69,2.5815,15.8,0.638291666268526
Netherlands,2003,Europe & Central Asia,3244.35644531,4.58,2.62,15.1,0.471814398788212
Netherlands,2004,Europe & Central Asia,3689.46435547,4.56,2.6469,14.6,0.347475412048658
Netherlands,2005,Europe & Central Asia,3823.48095703,4.5,2.6997,1,0.23366314793854
Netherlands,2006,Europe & Central Asia,4080.21972656,4.34,2.7791,13.5,0.160613668857538
Netherlands,2007,Europe & Central Asia,4696.14160156,4.31,2.7724,13.2,0.217521601194242
Netherlands,2008,Europe & Central Asia,5382.44580078,4.27,2.849,1,0.389292461499527
Netherlands,2009,Europe & Central Asia,5282.74316406,4.2,2.9057,12.7,0.514284544827762
Netherlands,2010,Europe & Central Asia,5191.69384766,4.05,2.9516,12.6,0.512923100553586
Netherlands,2011,Europe & Central Asia,5562.12109375,3.84,3.1243,12.2,0.466428782200821
Netherlands,2012,Europe & Central Asia,5284.64990234,3.75,3.2463,1,0.370055034770235
Netherlands,2013,Europe & Central Asia,5532.7265625,3.61,3.3058,11.6,0.294820793441482
Netherlands,2015,Europe & Central Asia,4676.57666016,3.49,3.4917,11.2,0.443220089035769
Netherlands,2016,Europe & Central Asia,4734.83349609,3.41,3.547,11.1,0.532178879608489
Netherlands,2017,Europe & Central Asia,4910.89941406,3.28,3.6054,10.6,0.591203366164118
New Zealand,2002,East Asia & Pacific,1246.31347656,6.2,2.0665,15.2,1.73717486434422
New Zealand,2009,East Asia & Pacific,2700.97705078,2.41,3.0477,1,0.999728031208421
New Zealand,2010,East Asia & Pacific,3216.22363281,2.75,3.0658,11.8,1.1117260560215
New Zealand,2011,East Asia & Pacific,3625.77246094,2.82,3.1731,11.9,0.762479795105218
New Zealand,2012,East Asia & Pacific,3805.97167969,2.83,3.1957,11.4,0.548220797298334
New Zealand,2013,East Asia & Pacific,3954.66699219,2.78,3.2303,1,0.768347998194806
New Zealand,2014,East Asia & Pacific,4143.78808594,2.76,3.2374,10.8,1.66101200071152
New Zealand,2015,East Asia & Pacific,3582.27294922,2.72,3.2961,10.9,2.0360339086492
New Zealand,2016,East Asia & Pacific,3746.47680664,2.74,3.3833,10.8,2.24603210015584
New Zealand,2017,East Asia & Pacific,3940.39038086,2.73,3.4728,10.9,2.08872272281936
Nicaragua,2003,Latin America & Caribbean,61.17759705,0.8999999762,0.3864,15.8,1.3850085338443
Nicaragua,2005,Latin America & Caribbean,72.34895325,0.9,0.4996,16.5,1.36552623135137
Nicaragua,2006,Latin America & Caribbean,77.98773193,1,0.4924,14.6,1.3707651208829
Nicaragua,2007,Latin America & Caribbean,92.37856293,0.9,0.5265,15.7,1.37448519055655
Nicaragua,2008,Latin America & Caribbean,107.45199585,0.9,0.6486,16.1,1.37457169836337
Nicaragua,2010,Latin America & Caribbean,115.95102692,0.8,0.7278,15.4,1.35737160705997
Nicaragua,2011,Latin America & Caribbean,123.3549881,1.14,0.8137,15.7,1.34693557935178
Nicaragua,2012,Latin America & Caribbean,131.83006287,0.96,0.8605,1,1.33769299842878
Nicaragua,2013,Latin America & Caribbean,138.38568115,0.95,0.8981,15.9,1.32724327889097
Nicaragua,2014,Latin America & Caribbean,154.28338623,0.93,0.8946,1,1.31539317229669
Nicaragua,2015,Latin America & Caribbean,163.22993469,0.93,0.9312,1,1.30197873969913
Nicaragua,2016,Latin America & Caribbean,169.6340332,0.93,0.9537,15.8,1.28898863383271
Nicaragua,2017,Latin America & Caribbean,180.3273468,0.93,0.9895,15.6,1.27473066409974
Niger,2010,Sub-Saharan Africa,23.85829926,0.35,0.019,21.4,3.84416665603582
Niger,2015,Sub-Saharan Africa,25.87792969,0.31,0.0472,21.5,3.88145154449419
Nigeria,2000,Sub-Saharan Africa,17.73399734,1.2,0.269,21.9,2.50385613040855
Norway,2000,Europe & Central Asia,2948.93164063,3.8,2.9,14.3,0.649044821192665
Norway,2001,Europe & Central Asia,3099.00341797,3.82,1,1,0.506046910557235
Norway,2002,Europe & Central Asia,3889.95947266,4.99,2.0548,13.9,0.539290805050494
Norway,2003,Europe & Central Asia,4632.56835938,4.99,2.1015,13.1,0.586532691986894
Norway,2004,Europe & Central Asia,5097.34423828,5.25,2.2115,12.7,0.590930939690253
Norway,2005,Europe & Central Asia,5584.68945313,5.16,2.296,12.3,0.681072964187373
Norway,2006,Europe & Central Asia,5892.98730469,5.03,2.3597,1,0.805392739160981
Norway,2007,Europe & Central Asia,6895.56054688,4.86,2.4069,1,1.03473451527827
Norway,2008,Europe & Central Asia,7768.05029297,4.64,2.4077,11.7,1.24633301535167
Norway,2009,Europe & Central Asia,7301.95996094,4.52,2.4756,11.3,1.2611272893768
Norway,2010,Europe & Central Asia,7859.51611328,4.3,2.4949,11.3,1.24566617956207
Norway,2011,Europe & Central Asia,8900.37207031,4.19,2.5441,10.8,1.297189390693
